id;nombre;descripcion;precio;categoria;imagen;url_producto;imagen_incrustada;subcategoria;stock;warehouseStock
p1;TOMATES PERITA X KG;;2.99;frutas-vegetales;/images/products/scraped/p1.jpg;https://vallearriba.elplazas.com/tomate-perita.html;"=IMAGE(""https://jomstudiovzla.github.io/minegocio/images/products/scraped/p1.jpg"", 1)";Frutas;100;50
p5;PIMENTON ROJO X KG;;5.95;frutas-vegetales;/images/products/scraped/p5.jpg;https://vallearriba.elplazas.com/plz-24378kg.html;"=IMAGE(""https://jomstudiovzla.github.io/minegocio/images/products/scraped/p5.jpg"", 1)";Frutas;100;50
p9;FLORES DE BROCOLI VIMA CONGELADAS 450G;;6.25;frutas-vegetales;/images/products/scraped/p9.jpg;https://vallearriba.elplazas.com/plz-20004614un.html;"=IMAGE(""https://jomstudiovzla.github.io/minegocio/images/products/scraped/p9.jpg"", 1)";Frutas;100;50
p13;CELERY X KG;;2.99;frutas-vegetales;/images/products/scraped/p13.jpg;https://vallearriba.elplazas.com/celery.html;"=IMAGE(""https://jomstudiovzla.github.io/minegocio/images/products/scraped/p13.jpg"", 1)";Frutas;100;50
p18;ACELGAS LOS FRESCALES BOLSA DE 300G;;4.50;frutas-vegetales;/images/products/scraped/p18.jpg;https://vallearriba.elplazas.com/acelgas-frescales-300g.html;"=IMAGE(""https://jomstudiovzla.github.io/minegocio/images/products/scraped/p18.jpg"", 1)";Frutas;100;50
p22;VAINITAS X KG;;3.75;frutas-vegetales;/images/products/scraped/p22.jpg;https://vallearriba.elplazas.com/vainitas.html;"=IMAGE(""https://jomstudiovzla.github.io/minegocio/images/products/scraped/p22.jpg"", 1)";Frutas;100;50
p27;OCUMO CHINO X KG;;2.45;frutas-vegetales;/images/products/scraped/p27.jpg;https://vallearriba.elplazas.com/ocumo-chino.html;"=IMAGE(""https://jomstudiovzla.github.io/minegocio/images/products/scraped/p27.jpg"", 1)";Frutas;100;50
p31;TOMATES DE ARBOL X KG;;4.25;frutas-vegetales;/images/products/scraped/p31.jpg;https://vallearriba.elplazas.com/tomate-de-arbol.html;"=IMAGE(""https://jomstudiovzla.github.io/minegocio/images/products/scraped/p31.jpg"", 1)";Frutas;100;50
p36;PIMIENTOS SWEET PALERMO HORTALIZAS PREMIUM 500G;;9.85;frutas-vegetales;/images/products/scraped/p36.jpg;https://vallearriba.elplazas.com/plz-20005011un.html;"=IMAGE(""https://jomstudiovzla.github.io/minegocio/images/products/scraped/p36.jpg"", 1)";Frutas;100;50
p40;TOMATES CHERRY HORTALIZAS PREMIUM 300G;;4.95;frutas-vegetales;/images/products/scraped/p40.jpg;https://vallearriba.elplazas.com/plz-20005009un.html;"=IMAGE(""https://jomstudiovzla.github.io/minegocio/images/products/scraped/p40.jpg"", 1)";Frutas;100;50
